agropecuario-pecuario-bovino-carne,134453
agropecuario-pecuario-bovino-ganado,126974
agropecuario-pecuario-ave-aves-carne,107162
agropecuario-pecuario-ave-aves-ganado,96155
agropecuario-pecuario-bovino-leche,73687
agropecuario-pecuario-porcino-carne,67100
agropecuario-pecuario-ave-aves-huevo,57152
agropecuario-pecuario-porcino-ganado,52786
agropecuario-pecuario-ovino-carne,4582
agropecuario-pecuario-ovino-ganado,4411
agropecuario-pecuario-abeja-miel,2755
agropecuario-pecuario-caprino-carne,2627
agropecuario-pecuario-caprino-ganado,2485
agropecuario-pecuario-ave-guajolote-ganado,999
agropecuario-pesquero-camaron,16920
agropecuario-pesquero-otros,24808
agropecuario-agricola-maiz,106246
agropecuario-agricola-aguacate,49481
agropecuario-agricola-caña,45899
agropecuario-agricola-agave,30458
agropecuario-agricola-tomate,29874
agropecuario-agricola-chile,25396
agropecuario-agricola-pastos,24963
agropecuario-agricola-fresa,20761
agropecuario-agricola-limon,17256
agropecuario-agricola-sorgo,14422
agropecuario-agricola-papa,13987
agropecuario-agricola-zarzamora,13068
agropecuario-agricola-frijol,13040
agropecuario-agricola-otros,270516
