rama,valor,color,,
agropecuario-pecuario-bovino-carne,134453,"""#6b5b95""",,
agropecuario-pecuario-bovino-ganado,126974,"""#6b5b95""",,
agropecuario-pecuario-ave-aves-carne,107162,"""#6b5b95""",,
agropecuario-pecuario-ave-aves-ganado,96155,"""#6b5b95""",,
agropecuario-pecuario-bovino-leche,73687,"""#6b5b95""",,
agropecuario-pecuario-porcino-carne,67100,"""#6b5b95""",,
agropecuario-pecuario-ave-aves-huevo,57152,"""#6b5b95""",,
agropecuario-pecuario-porcino-ganado,52786,"""#6b5b95""",,
agropecuario-pecuario-ovino-carne,4582,"""#6b5b95""",,
agropecuario-pecuario-ovino-ganado,4411,"""#6b5b95""",,
agropecuario-pecuario-abeja-miel,2755,"""#6b5b95""",,
agropecuario-pecuario-caprino-carne,2627,"""#6b5b95""",,
agropecuario-pecuario-caprino-ganado,2485,"""#6b5b95""",,
agropecuario-pecuario-ave-guajolote-ganado,999,"""#6b5b95""",,
agropecuario-pesquero-camaron,16920,"""#8e9adf""",,
agropecuario-pesquero-otros,24808,"""#8e9adf""",,
agropecuario-agricola-maiz,106246,"""#009900""",,
agropecuario-agricola-aguacate,49481,"""#009900""",,
agropecuario-agricola-caña,45899,"""#009900""",,
agropecuario-agricola-agave,30458,"""#009900""",,
agropecuario-agricola-tomate,29874,"""#009900""",,
agropecuario-agricola-chile,25396,"""#009900""",,
agropecuario-agricola-pastos,24963,"""#009900""",,
agropecuario-agricola-fresa,20761,"""#009900""",,
agropecuario-agricola-limon,17256,"""#009900""",,
agropecuario-agricola-sorgo,14422,"""#009900""",,
agropecuario-agricola-papa,13987,"""#009900""",,
agropecuario-agricola-zarzamora,13068,"""#009900""",,
agropecuario-agricola-frijol,13040,"""#009900""",,
agropecuario-agricola-otros,270516,"""#009900""",,
